no,offer date,security code,offer price,opening price,fileprice min,fileprice max,industry,founding year,trading unit,total offering,primary offering,secondary offering,over allotment,OTC dummy,market dummy,Nomura dummy,Daiwa dummy,Nikko dummy,Mizuho dummy,SBI dummy
138,20131120,6080,3000,10000,2800,3000,33,2005,100,172500,150000,0,22500,0,1,1,0,0,0,0
139,20131120,3678,3300,11770,3000,3300,25,1999,100,391000,270000,70000,51000,0,1,0,0,0,0,0
140,20131122,3679,600,1750,500,600,25,2006,100,9832500,1000000,7550000,1282500,0,1,1,0,0,0,0
141,20131129,6081,1700,5600,1500,1700,33,2005,100,761800,400000,262500,99300,0,1,1,0,0,0,0
142,20131203,6082,2000,3105,1790,2000,33,2001,100,1196000,250000,790000,156000,0,1,1,0,0,0,0
143,20131206,4588,2600,3500,2420,2600,8,2004,100,2553000,1820000,400000,333000,0,1,0,0,1,0,0
144,20131209,3680,2700,7170,2570,2700,25,2000,100,539100,188800,280000,70300,0,1,1,0,0,0,0
145,20131210,3681,3300,5010,3000,3300,25,2000,100,1342800,600000,567700,175100,0,1,1,0,0,0,0
146,20131211,3682,1730,3775,1550,1730,25,2002,100,744700,330000,317600,97100,0,1,1,0,0,0,0
147,20131211,6084,3500,8050,3300,3500,33,2003,100,160200,130000,10200,20000,0,1,0,0,0,0,1
148,20131213,1429,1650,2061,1480,1650,3,2004,100,1805500,1570000,0,235500,0,1,1,0,0,0,0
149,20131217,3293,1600,1760,1500,1600,32,1977,100,1293700,550000,575000,168700,0,1,1,0,0,0,0
150,20131218,6088,3010,3020,2830,3010,33,2008,100,1827300,211700,1377300,238300,0,1,0,0,1,0,0
151,20131218,3294,3300,4200,3030,3300,32,1989,100,402500,250000,100000,52500,0,1,0,0,0,1,0
152,20131218,6087,3450,3450,3250,3450,33,2006,100,603000,450000,74400,78600,0,1,0,0,0,0,1
153,20131218,6085,2050,4600,1850,2050,33,2007,100,345000,250000,50000,45000,0,1,1,0,0,0,0
154,20131219,6089,2870,2750,2770,2870,33,2006,100,849000,333200,405100,110700,0,0,0,0,1,0,0
155,20131219,4245,1300,1351,1200,1300,7,2005,100,805000,500000,200000,105000,0,0,0,0,0,0,0
156,20131219,7167,420,451,400,420,28,2008,100,63250000,55000000,0,8250000,0,0,1,0,0,0,0
157,20131219,6086,950,2235,910,950,33,1985,100,402500,200000,150000,52500,0,1,0,0,0,1,0
158,20131224,6090,1400,3100,1300,1400,33,2003,100,1571500,850000,571500,150000,0,1,0,0,0,0,0
159,20140213,4589,1800,2300,1650,1800,8,2002,100,10580000,9200000,0,1380000,0,1,0,0,0,0,0
160,20140306,3683,2400,6550,2200,2400,25,1964,100,287500,250000,0,37500,0,1,0,0,0,1,0
161,20140312,6092,580,1311,550,580,33,1999,100,1297700,1050000,78500,169200,0,1,0,0,1,0,0
162,20140312,9414,1820,1940,1680,1820,25,1999,100,2679500,1380000,950000,349500,0,0,1,0,0,0,0
163,20140313,4246,1600,1799,1450,1600,7,1961,100,4203800,3300000,355500,548300,0,0,1,0,0,0,0
164,20140318,6810,2070,1971,1990,2070,16,1960,100,37000000,0,35227700,1772300,0,0,0,0,1,0,0
165,20140319,6740,900,769,900,1100,16,2002,100,371900000,140000000,213900000,18000000,0,0,1,0,0,0,0
166,20140320,3190,520,767,470,520,27,1975,100,2093000,1820000,0,273000,0,1,0,0,1,0,0
167,20140325,3685,2800,3560,2580,2800,25,2010,100,1701600,850000,629700,221900,0,1,1,0,0,0,0
168,20140326,3686,1200,2412,1050,1200,25,2001,100,1496100,800000,501000,195100,0,1,1,0,0,0,0
169,20140326,7779,3700,8510,2700,3700,18,2004,100,2421900,1222000,895700,304200,0,1,0,0,1,0,0
170,20140328,6093,2700,8090,2600,2700,33,2007,100,184000,80000,80000,24000,0,1,0,1,0,0,0
171,20140408,9090,3400,3100,3140,3400,21,1973,100,920000,600000,200000,120000,0,0,0,0,0,1,0
172,20140408,6616,5000,4480,4500,5000,16,1995,100,807600,350000,352300,105300,0,1,1,0,0,0,0
