no,security code,company name,lead manager,offering year,offering date,offering price,opening price,trading unit,fileprice min,fileprice max,total offering,primary offering,secondary offering,over allotment,founding year,industry,market
184,6095,メドピア,野村,2014,627,4000,9250,100,3700,4000,270200,160000,75000,35200,2004,サービス業,マザーズ
185,3688,ＶＯＹＡＧＥＧＲＯＵＰ,野村,2014,702,2400,3360,100,2200,2400,4370000,500000,3300000,570000,1999,情報・通信業,マザーズ
186,3193,鳥貴族,大和,2014,710,2800,6180,100,2590,2800,529000,300000,160000,69000,1986,小売業,JASDAQスタンダード
187,3689,イグニス,野村,2014,715,1900,8400,100,1700,1900,1371900,460000,733000,178900,2010,情報・通信業,マザーズ
188,6097,日本ビューホテル,大和,2014,723,2200,2150,100,1900,2200,1260000,125000,1000000,135000,1949,サービス業,東証2部
189,7172,ジャパンインベストメントアドバイザー,SBI,2014,911,2550,5770,100,2350,2550,439800,120000,262500,57300,2006,証券商品先物,マザーズ
190,3690,ロックオン,野村,2014,917,1300,5000,100,1200,1300,394400,200000,143000,51400,2001,情報・通信業,マザーズ
191,3691,リアルワールド,大和,2014,918,2530,4505,100,2330,2530,564700,270400,220700,73600,2005,情報・通信業,マザーズ
192,3300,ＡＭＢＩＴＩＯＮ,SBI,2014,919,960,1555,100,860,960,616000,296000,300000,20000,2007,不動産業,マザーズ
193,3195,ジェネレーションパス,野村,2014,924,1200,2630,100,1090,1200,466900,216000,190000,60900,2002,小売業,マザーズ
194,4591,リボミック,大和,2014,925,2300,1830,100,2000,2300,2488600,1200000,964000,324600,2003,医薬品,マザーズ
195,3196,ホットランド,大和,2014,930,2110,2074,100,2010,2110,2022500,816500,942200,263800,1991,小売業,マザーズ
196,3692,ＦＦＲＩ,野村,2014,930,1450,4010,100,1340,1450,382900,140000,193000,49900,2007,情報・通信業,マザーズ
197,6240,ヤマシンフィルタ,野村,2014,1008,2800,3350,100,2700,2800,586500,300000,210000,76500,1956,機械,東証2部
198,3197,すかいらーく,野村,2014,1009,1200,1200,100,1200,1450,62759600,4138000,51528800,7092800,2011,小売業,東証1部
199,6098,リクルートホールディングス,野村,2014,1016,3100,3170,100,2800,3100,68974100,29506200,34070000,5397900,1963,サービス業,東証1部
200,3695,ＧＭＯリサーチ,大和,2014,1021,2100,4900,100,2000,2100,520200,190000,262400,67800,2002,情報・通信業,マザーズ
201,3694,オプティム,大和,2014,1022,4000,14400,100,3700,4000,264300,229900,0,34400,2000,情報・通信業,マザーズ
202,3696,セレス,SBI,2014,1022,1860,2890,100,1660,1860,640000,590000,0,50000,2005,情報・通信業,マザーズ
203,9467,アルファポリス,大和,2014,1030,2200,4250,100,2100,2200,1293700,675000,450000,168700,2000,情報・通信業,マザーズ
204,6099,エラン,野村,2014,1107,1750,2980,100,1620,1750,1169500,500000,517000,152500,1995,サービス業,マザーズ
205,3697,ＳＨＩＦＴ,野村,2014,1113,1300,6000,100,1210,1300,598000,100000,420000,78000,2005,情報・通信業,マザーズ
206,6025,日本ＰＣサービス,東海東京,2014,1126,480,805,100,430,480,287500,250000,0,37500,2001,サービス業,名証セントレックス
207,3698,ＣＲＩ・ミドルウェア,HS,2014,1127,2400,13500,100,2100,2400,316000,110000,166000,40000,2001,情報・通信業,マザーズ
208,6027,弁護士ドットコム,野村,2014,1211,1230,3880,100,1050,1230,1288000,370000,750000,168000,2005,サービス業,マザーズ
209,7816,スノーピーク,日興,2014,1211,2300,5390,100,2150,2300,372600,280000,44000,48600,1964,その他製品,マザーズ
210,3452,ビーロット,SBI,2014,1211,2010,10500,100,1810,2010,115000,100000,0,15000,2008,不動産業,マザーズ
211,6026,ＧＭＯＴＥＣＨ,大和,2014,1211,5800,13640,100,5000,5800,316400,100000,175200,41200,2006,サービス業,マザーズ
