security code,offering date,offering price,opening price,trading unit,fileprice min,fileprice max,total offering,primary offering,secondary offering,over allotment,founding year,industry,market
3299,6月18日,1200,1320,100,1100,1200,2990000,2300000,300000,390000,1990,不動産業,マザーズ
7169,6月16日,3320,3065,100,3000,3320,732500,0,637000,95500,1999,保険業,JASDAQスタンダード
3297,5月22日,1250,1400,100,1050,1250,410000,270000,87000,53000,1984,不動産業,JASDAQスタンダード
9024,4月23日,1600,1600,100,1600,1800,27826000,0,27826000,0,2006,陸運業,東証1部
3687,4月23日,3450,9040,100,3350,3450,142600,100000,24000,18600,2002,情報・通信業,マザーズ
3192,4月23日,520,760,100,480,520,1311000,570000,570000,171000,1974,小売業,JASDAQスタンダード
3191,4月18日,2700,2650,100,2450,2700,4104600,0,3814600,290000,1975,小売業,東証1部
6616,4月8日,5000,4480,100,4500,5000,807600,350000,352300,105300,1995,電気機器,JASDAQスタンダード
9090,4月8日,3400,3100,100,3140,3400,920000,600000,200000,120000,1973,陸運業,東証2部
6093,3月28日,2700,8090,100,2600,2700,184000,80000,80000,24000,2007,サービス業,JASDAQスタンダード
7779,3月26日,3700,8510,100,2700,3700,2421900,1222000,895700,304200,2004,精密機器,マザーズ
3686,3月26日,1200,2412,100,1050,1200,1496100,800000,501000,195100,2001,情報・通信業,マザーズ
3685,3月25日,2800,3560,100,2580,2800,1701600,850000,629700,221900,2010,情報・通信業,マザーズ
3190,3月20日,520,767,100,470,520,2093000,1820000,0,273000,1975,小売業,JASDAQスタンダード
6740,3月19日,900,769,100,900,1100,371900000,140000000,213900000,18000000,2002,電気機器,東証1部
6810,3月18日,2070,1971,100,1990,2070,37000000,0,35227700,1772300,1960,電気機器,東証1部
4246,3月13日,1600,1799,100,1450,1600,4203800,3300000,355500,548300,1961,化学,東証1部
9414,3月12日,1820,1940,100,1680,1820,2679500,1380000,950000,349500,1999,情報・通信業,東証2部
6092,3月12日,580,1311,100,550,580,1297700,1050000,78500,169200,1999,サービス業,マザーズ
3683,3月6日,2400,6550,100,2200,2400,287500,250000,0,37500,1964,情報・通信業,JASDAQスタンダード
4589,2月13日,1800,2300,100,1650,1800,10580000,9200000,0,1380000,2002,医薬品,マザーズ
6186,12月25日,1210,1236,100,1150,1210,2313900,1500000,512100,301800,1991,サービス業,東証2部
3929,12月24日,1600,2511,100,1480,1600,621000,170000,370000,81000,2006,情報・通信業,マザーズ
3465,12月24日,1200,1282,100,1130,1200,2415000,1050000,1050000,315000,1990,不動産業,東証2部
6185,12月22日,2300,5500,100,2150,2300,690000,600000,0,90000,2000,サービス業,マザーズ
3464,12月22日,1400,3010,100,1360,1400,575000,460000,40000,75000,2004,不動産業,JASDAQスタンダード
3928,12月21日,1680,2005,100,1500,1680,982100,600000,254000,128100,2006,情報・通信業,マザーズ
9416,12月21日,2000,2213,100,1800,2000,2639200,1870000,425000,344200,2001,情報・通信業,マザーズ
