no,Offer Date,security code,industry,market dummy,Nomura dummy,Daiwa dummy,Nikko dummy,Mizuho dummy,SBI dummy,offering price,opening price,trading unit,fileprice min,fileprice max,total offering,primary offering,secondary offering,over allotment,founding year
186,20140710,3193,27,1,0,1,0,0,0,2800,6180,100,2590,2800,529000,300000,160000,69000,1986
187,20140715,3689,25,1,1,0,0,0,0,1900,8400,100,1700,1900,1371900,460000,733000,178900,2010
188,20140723,6097,33,0,0,1,0,0,0,2200,2150,100,1900,2200,1260000,125000,1000000,135000,1949
189,20140911,7172,25,1,0,0,0,0,1,2550,5770,100,2350,2550,439800,120000,262500,57300,2006
190,20140917,3690,25,1,1,0,0,0,0,1300,5000,100,1200,1300,394400,200000,143000,51400,2001
191,20140918,3691,25,1,0,1,0,0,0,2530,4505,100,2330,2530,564700,270400,220700,73600,2005
192,20140919,3300,32,1,0,0,0,0,1,960,1555,100,860,960,616000,296000,300000,20000,2007
193,20140924,3195,27,1,1,0,0,0,0,1200,2630,100,1090,1200,466900,216000,190000,60900,2002
194,20140925,4591,8,1,0,1,0,0,0,2300,1830,100,2000,2300,2488600,1200000,964000,324600,2003
195,20140930,3196,27,1,0,1,0,0,0,2110,2074,100,2010,2110,2022500,816500,942200,263800,1991
196,20140930,3692,25,1,1,0,0,0,0,1450,4010,100,1340,1450,382900,140000,193000,49900,2007
197,20141008,6240,15,0,1,0,0,0,0,2800,3350,100,2700,2800,586500,300000,210000,76500,1956
198,20141009,3197,27,0,1,0,0,0,0,1200,1200,100,1200,1450,62759600,4138000,51528800,7092800,2011
199,20141016,6098,33,0,1,0,0,0,0,3100,3170,100,2800,3100,68974100,29506200,34070000,5397900,1963
200,20141021,3695,25,1,0,1,0,0,0,2100,4900,100,2000,2100,520200,190000,262400,67800,2002
201,20141022,3694,25,1,0,1,0,0,0,4000,14400,100,3700,4000,264300,229900,0,34400,2000
202,20141022,3696,25,1,0,0,0,0,1,1860,2890,100,1660,1860,640000,590000,0,50000,2005
203,20141030,9467,25,1,0,1,0,0,0,2200,4250,100,2100,2200,1293700,675000,450000,168700,2000
204,20141107,6099,33,1,1,0,0,0,0,1750,2980,100,1620,1750,1169500,500000,517000,152500,1995
205,20141113,3697,25,1,1,0,0,0,0,1300,6000,100,1210,1300,598000,100000,420000,78000,2005
